Plant Name,Min Temperature,Max Temperature,Avg Temperature,Avg Rainfall,Soil,Zone,Humidity,Sunlight,Is_grow
Aloe Vera,13.44,40.4,26.92,637.07,Red & Yellow,BSH,47.93,10.69,1
Aloe Vera,13.17,39.95,26.56,581.035,Alluvial,BSH,38.97,9.34,1
Aloe Vera,13.09,39.81,26.45,563.795,Arid,BSH,36.21,8.93,1
Aloe Vera,13.42,40.36,26.89,632.755,Arid,BSH,47.24,10.59,1
Aloe Vera,9.67,43,26.335,697.5,Laterite,AM,80.67,3.67,0
Aloe Vera,13.46,40.43,26.945,641.38,Arid,BSH,48.62,10.79,1
Aloe Vera,13.09,39.81,26.45,563.795,Red & Yellow,AW,36.21,8.93,1
Aloe Vera,10.33,44,27.165,735,Red & Yellow,AM,90.33,4.33,0
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,CSA,80.67,3.67,0
Aloe Vera,13.29,40.16,26.725,606.895,Red & Yellow,AW,43.1,9.97,1
Aloe Vera,9,42,25.5,660,Red & Yellow,CSA,71,3,0
Aloe Vera,11,45,28,772.5,Black,BSH,100,5,0
Aloe Vera,10.33,44,27.165,735,Mountain,ET,90.33,4.33,0
Aloe Vera,13.11,39.84,26.475,568.105,Arid,BSH,36.9,9.03,1
Aloe Vera,13.17,39.95,26.56,581.035,Alluvial,AW,38.97,9.34,1
Aloe Vera,12.92,39.53,26.225,529.31,Alluvial,AW,30.69,8.1,1
Aloe Vera,9,42,25.5,660,Arid,BWH,71,3,0
Aloe Vera,10.33,44,27.165,735,Mountain,AW,90.33,4.33,0
Aloe Vera,13.23,40.05,26.64,593.965,Red & Yellow,BSH,41.03,9.66,1
Aloe Vera,13.4,40.33,26.865,628.45,Alluvial,BSH,46.55,10.48,1
Aloe Vera,13.04,39.74,26.39,555.175,Arid,BSH,34.83,8.72,1
Aloe Vera,11,45,28,772.5,Laterite,AW,100,5,0
Aloe Vera,13.21,40.02,26.615,589.655,Alluvial,AW,40.34,9.55,1
Aloe Vera,13.27,40.12,26.695,602.585,Red & Yellow,BSH,42.41,9.86,1
Aloe Vera,13,39.67,26.335,546.55,Red & Yellow,AW,33.45,8.52,1
Aloe Vera,12.92,39.53,26.225,529.31,Arid,BSH,30.69,8.1,1
Aloe Vera,10.33,44,27.165,735,Red & Yellow,CWA,90.33,4.33,0
Aloe Vera,9.67,43,26.335,697.5,Mountain,CFA,80.67,3.67,0
Aloe Vera,9,42,25.5,660,Mountain,CFA,71,3,0
Aloe Vera,13.5,40.5,27,650,Red & Yellow,AW,50,11,1
Aloe Vera,11,45,28,772.5,Red & Yellow,CSA,100,5,0
Aloe Vera,10.33,44,27.165,735,Mountain,CWA,90.33,4.33,0
Aloe Vera,9,42,25.5,660,Red & Yellow,AM,71,3,0
Aloe Vera,11,45,28,772.5,Red & Yellow,AM,100,5,0
Aloe Vera,13.46,40.43,26.945,641.38,Alluvial,AW,48.62,10.79,1
Aloe Vera,13.46,40.43,26.945,641.38,Alluvial,BSH,48.62,10.79,1
Aloe Vera,11,45,28,772.5,Mountain,CWA,100,5,0
Aloe Vera,13.25,40.09,26.67,598.275,Arid,BSH,41.72,9.76,1
Aloe Vera,13.44,40.4,26.92,637.07,Alluvial,AW,47.93,10.69,1
Aloe Vera,11,45,28,772.5,Mountain,CWB,100,5,0
Aloe Vera,13.36,40.26,26.81,619.825,Alluvial,AW,45.17,10.28,1
Aloe Vera,9,42,25.5,660,Alluvial,BWH,71,3,0
Aloe Vera,11,45,28,772.5,Mountain,DFC,100,5,0
Aloe Vera,13.13,39.88,26.505,572.415,Red & Yellow,BSH,37.59,9.14,1
Aloe Vera,11,45,28,772.5,Laterite,BSH,100,5,0
Aloe Vera,9,42,25.5,660,Laterite,BSH,71,3,0
Aloe Vera,9,42,25.5,660,Black,AW,71,3,0
Aloe Vera,10.33,44,27.165,735,Mountain,AM,90.33,4.33,0
Aloe Vera,13.5,40.5,27,650,Alluvial,AW,50,11,1
Aloe Vera,13.17,39.95,26.56,581.035,Red & Yellow,AW,38.97,9.34,1
Aloe Vera,9.67,43,26.335,697.5,Mountain,CWB,80.67,3.67,0
Aloe Vera,13.42,40.36,26.89,632.755,Alluvial,BSH,47.24,10.59,1
Aloe Vera,13.36,40.26,26.81,619.825,Arid,BSH,45.17,10.28,1
Aloe Vera,11,45,28,772.5,Mountain,CFA,100,5,0
Aloe Vera,12.94,39.57,26.255,533.62,Alluvial,BSH,31.38,8.21,1
Aloe Vera,13.31,40.19,26.75,611.205,Red & Yellow,AW,43.79,10.07,1
Aloe Vera,13.02,39.71,26.365,550.86,Red & Yellow,BSH,34.14,8.62,1
Aloe Vera,13.31,40.19,26.75,611.205,Alluvial,AW,43.79,10.07,1
Aloe Vera,11,45,28,772.5,Laterite,BWH,100,5,0
Aloe Vera,13.44,40.4,26.92,637.07,Alluvial,BSH,47.93,10.69,1
Aloe Vera,13.27,40.12,26.695,602.585,Red & Yellow,AW,42.41,9.86,1
Aloe Vera,13.17,39.95,26.56,581.035,Arid,BSH,38.97,9.34,1
Aloe Vera,11,45,28,772.5,Red & Yellow,CWB,100,5,0
Aloe Vera,13.04,39.74,26.39,555.175,Red & Yellow,BSH,34.83,8.72,1
Aloe Vera,9,42,25.5,660,Mountain,CWB,71,3,0
Aloe Vera,13.5,40.5,27,650,Arid,BSH,50,11,1
Aloe Vera,9.67,43,26.335,697.5,Alluvial,BWH,80.67,3.67,0
Aloe Vera,13.21,40.02,26.615,589.655,Red & Yellow,BSH,40.34,9.55,1
Aloe Vera,13.19,39.98,26.585,585.345,Alluvial,BSH,39.66,9.45,1
Aloe Vera,10,43.5,26.75,716.25,Black,AW,85.5,4,0
Aloe Vera,11,45,28,772.5,Mountain,AW,100,5,0
Aloe Vera,12.9,39.5,26.2,525,Alluvial,BSH,30,8,1
Aloe Vera,13.31,40.19,26.75,611.205,Red & Yellow,BSH,43.79,10.07,1
Aloe Vera,13.11,39.84,26.475,568.105,Alluvial,BSH,36.9,9.03,1
Aloe Vera,13.38,40.29,26.835,624.14,Red & Yellow,AW,45.86,10.38,1
Aloe Vera,11,45,28,772.5,Laterite,AM,100,5,0
Aloe Vera,13.48,40.47,26.975,645.69,Red & Yellow,AW,49.31,10.9,1
Aloe Vera,10.33,44,27.165,735,Alluvial,AM,90.33,4.33,0
Aloe Vera,9,42,25.5,660,Alluvial,CWB,71,3,0
Aloe Vera,13.19,39.98,26.585,585.345,Arid,BSH,39.66,9.45,1
Aloe Vera,13.44,40.4,26.92,637.07,Red & Yellow,AW,47.93,10.69,1
Aloe Vera,10,43.5,26.75,716.25,Laterite,AW,85.5,4,0
Aloe Vera,13.13,39.88,26.505,572.415,Alluvial,BSH,37.59,9.14,1
Aloe Vera,13.42,40.36,26.89,632.755,Red & Yellow,BSH,47.24,10.59,1
Aloe Vera,13.48,40.47,26.975,645.69,Arid,BSH,49.31,10.9,1
Aloe Vera,13.4,40.33,26.865,628.45,Arid,BSH,46.55,10.48,1
Aloe Vera,13.21,40.02,26.615,589.655,Alluvial,BSH,40.34,9.55,1
Aloe Vera,13,39.67,26.335,546.55,Alluvial,BSH,33.45,8.52,1
Aloe Vera,10.33,44,27.165,735,Red & Yellow,ET,90.33,4.33,0
Aloe Vera,13.04,39.74,26.39,555.175,Alluvial,AW,34.83,8.72,1
Aloe Vera,12.9,39.5,26.2,525,Red & Yellow,AW,30,8,1
Aloe Vera,13.27,40.12,26.695,602.585,Alluvial,BSH,42.41,9.86,1
Aloe Vera,13,39.67,26.335,546.55,Red & Yellow,BSH,33.45,8.52,1
Aloe Vera,11,45,28,772.5,Alluvial,AM,100,5,0
Aloe Vera,13.02,39.71,26.365,550.86,Alluvial,AW,34.14,8.62,1
Aloe Vera,13.29,40.16,26.725,606.895,Arid,BSH,43.1,9.97,1
Aloe Vera,11,45,28,772.5,Arid,BWH,100,5,0
Aloe Vera,12.9,39.5,26.2,525,Alluvial,AW,30,8,1
Aloe Vera,13.23,40.05,26.64,593.965,Alluvial,AW,41.03,9.66,1
Aloe Vera,12.96,39.6,26.28,537.93,Alluvial,BSH,32.07,8.31,1
Aloe Vera,12.94,39.57,26.255,533.62,Arid,BSH,31.38,8.21,1
Aloe Vera,9.67,43,26.335,697.5,Mountain,ET,80.67,3.67,0
Aloe Vera,10.33,44,27.165,735,Mountain,CFA,90.33,4.33,0
Aloe Vera,13.09,39.81,26.45,563.795,Red & Yellow,BSH,36.21,8.93,1
Aloe Vera,13.11,39.84,26.475,568.105,Alluvial,AW,36.9,9.03,1
Aloe Vera,13.02,39.71,26.365,550.86,Red & Yellow,AW,34.14,8.62,1
Aloe Vera,10.33,44,27.165,735,Red & Yellow,AF,90.33,4.33,0
Aloe Vera,9,42,25.5,660,Alluvial,CWA,71,3,0
Aloe Vera,10.33,44,27.165,735,Laterite,AM,90.33,4.33,0
Aloe Vera,13.02,39.71,26.365,550.86,Alluvial,BSH,34.14,8.62,1
Aloe Vera,9,42,25.5,660,Black,CWA,71,3,0
Aloe Vera,11,45,28,772.5,Mountain,AM,100,5,0
Aloe Vera,13.4,40.33,26.865,628.45,Alluvial,AW,46.55,10.48,1
Aloe Vera,13.38,40.29,26.835,624.14,Alluvial,BSH,45.86,10.38,1
Aloe Vera,10,43.5,26.75,716.25,Black,CWA,85.5,4,0
Aloe Vera,12.98,39.64,26.31,542.245,Red & Yellow,BSH,32.76,8.41,1
Aloe Vera,13.29,40.16,26.725,606.895,Alluvial,BSH,43.1,9.97,1
Aloe Vera,13.38,40.29,26.835,624.14,Alluvial,AW,45.86,10.38,1
Aloe Vera,13.33,40.22,26.775,615.52,Alluvial,BSH,44.48,10.17,1
Aloe Vera,12.98,39.64,26.31,542.245,Alluvial,BSH,32.76,8.41,1
Aloe Vera,13.07,39.78,26.425,559.48,Alluvial,AW,35.52,8.83,1
